Date,Algeria,Argentina,Armenia,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Canada,Chile,China,Colombia,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Finland,France,Germany,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Malaysia,Maldives,Mexico,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Russian ,Rwanda,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sri Lanka,Thailand,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Zimbabwe,Grand Total
2020-02-11,0,0,0,2,0,0,0,0,0,0,0,0,27,0,146,0,0,0,2,0,0,0,21,0,0,4,3,0,0,0,0,0,0,2,2,0,0,4,0,0,0,11,1,0,0,0,8,0,0,0,0,2,2,1,0,0,0,0,0,0,32,0,0,0,2,1,1,6,1,0,19,2,9,0,10,0,0,0,57,42,0,0,0,485
2020-02-12,0,3,4,86,0,3,0,3,1,0,0,11,71,0,744,0,0,0,3,1,0,1,9,0,4,61,16,4,7,0,0,1,0,63,41,30,2,18,5,1,1,209,0,11,8,0,83,0,13,1,20,11,19,18,3,8,9,0,0,0,154,0,2,8,30,70,1,17,5,2,89,10,51,16,90,3,0,22,260,219,0,0,0,3163
2020-02-13,0,3,1,52,0,7,0,22,0,0,0,1,120,0,862,1,1,1,10,2,0,0,2,0,1,79,32,5,5,0,0,8,0,110,47,3,3,10,2,7,7,220,0,7,2,1,84,6,9,1,18,12,22,18,1,1,17,0,0,0,208,1,2,1,43,29,2,13,3,1,84,7,74,13,87,4,5,4,270,423,0,0,5,3476
2020-02-14,1,1,0,105,7,2,1,15,0,0,6,2,122,2,778,0,0,1,5,0,0,0,20,0,8,24,53,8,3,0,0,1,0,114,53,34,2,6.5,4,15,4,237,1,5,2.5,0,114,2,5,1,10,11,5,23,16,1,9,0,0,0,231,1,0,1,51,36,0,3,2,8,80,17,27,10,89,10,2,8,283,403,0,5,2,3509
2020-02-15,0,1,0,40,2,2,0,1,0,0,2,2,79,1.5,772,0,0,1,4,0,0,0,87,0,1,95,34,1,4.5,0,0,1,0,61,26,3,1,3,1,1,2,249,0,7,3,0,87,1.5,5,1,23,1,22,12,3,1,5,0,0,0,143,5,0,0,25,8,0,2,6,0,73,14,27,6,56,2,1.5,5,234,357,0,3,9,2842
2020-02-16,0,1,0,60,0,17,0,1,1,0,0,1,58,1,634,1,0,0,1,0,0,1,34,0,2,103,124,5,6,0,3,1,0,92,29,2.5,0,1,10,5,4,251,0,3,7,0,95,1,4,0,15,10,21,6,2,2,1,2,2,1,89,1,0,0,61,9,0,2,1,0,62,5,8,4,32,6,1,6,101,273,1,1,10,2511
2020-02-17,2,3,2,91,0,3,3,4,0,0,0,2,101,1,744,1,0,0,1,0,0,1,33,0,3,62,71,9,6,0,1,1,0,125,40,2,0,6,15,18,4,274,1,8,2,0,90,0,4,0,8,10,27,23,1,3,25,0,1,0,176,2,0,0,42,43,0,19,1,0,83,8,17,4,51,3,0,11,119,327,0,6,7,3060
2020-02-18,6,2,1.5,148,0,11,1,4,0,0,0,9,159,1,821,1,0,1,1,2,0,1,83,0,2,58,20,14,0,0,0,3,0,116,65,9,4,24,24,4,8,262,1.5,3,2.5,1,86,0,1,0,6,9,27,42,1,2,46,0,1,0,142,4,4,0,84,69,0,6,1,0,74,14,20,8,56,7,0,6,124,368,0,11,6.5,3478
2020-02-19,10,0,1,101,0,5,7,6,0,0,2,1,117,2.5,803,2,1,0,0,7,0,0,103,1,1,64,14,18,0,1,0,2,3,126,41,77,3,34,18,15,2,287,2,19,3,1,73,1,17,0,16,3,22,33,1,1,4,0,2,0,151,1,1,3,88,65,3,37,3,0,75,40,33,12,35,8,0,17,161,375,0,12,6,3550
2020-02-20,21,0,7,107,3,11,1,6,0,0,5,1.5,147,4,755,0,2,0,0,5,0,0,175,0,1,74,23,38,0,1,0,3,0,96,34,109,3,29,32,9,2,333,1,25,7.5,1,61,0,12,2,16,10,21,28,3,1,19,0,3,1,126,36,2,2,120,33,5,44,3,0,72,31,40,8,61,7,2,60,203,453,0,2,22,4060
2020-02-21,6,6,11,156,0,7,2,4,0,0,2,2,290,0,940,0,3,2,0,8,6,6,91,0,4,43,20,17,0,0,1,1,0,57,27,106,32,9,87,61,0,290,1,11,12,46,44,0,1,3,2,2,15,15,2,1,30,6,0,1,113,41,6,3,167,30,1,19,2,1,65,19,21,6,54,8,13,53,239,455,0,2,49,4227
2020-02-22,1,0,2,105,0,19,1,1,0,0,0,2,191,0,670,0,0,2,0,1,0,0,100,0,0,61,11,4,3,0,1,1,0,58,19,125,9,16,43,148,0,235,3,3,14,65,30,0,1.5,5,6,1,11,23,2,1,2,0,0,0,106,21.5,1,2,137,35,0,8,52,2,41,3,5,4,30,3,7,52,242,288,0,0,89,3293
2020-02-23,1,0,12,41,13,4,1,2,0,0,0,4,65,1,508,1,0,2,1,2,0,0,48,0,0,40,16,1,4,0,1,1,0,68,28,244,22,19,64,235,0,171,5,13,17,40,28,1,2,2,8,2,6,7,2,1,19,0,0,0,75,2,0,1,159,39,0,33,1,3,36,3,4,6,30,31,1,18,138,172,2,0,11,2682
2020-02-24,3,3,17,83,37,3,3,8,0,0,0,2,264,2,677,1,1,1,11,3,0,0,42,0,7,56,58,6,12,0,0,1,0,115,48,210,85,30,39,314,0,162,9,6,61,24,47,1,3,4,22,6,28,10,4,20,69,0,0,0,104,2,0,5,209,25,0,80,2,0,95,12,20,5,48,30,0,35,169,316,1,0,5,4271
2020-02-25,10,1,11,96,52,2,4,48,1,0,0,5,188,3,726,3,1.5,16,21,3,0,0,30,1,1,62,65,20,8,0,0,1,0,93,46,174,100,45,62,315,4,199,3,12,64,5,42,1,6,9,9,10,37,7,6,67,16,4,0,2,91,2,2,7,169,34,1,50,2,0,60,27,232,6,79,22,0,164,177,533,0,1,11,4989
