month,Algeria,Argentina,Armenia,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Finland,France,Germany,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Lebanon,Libya,Malaysia,Mexico,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of the Congo,Romania,Russia ,Rwanda,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Tanzania,Thailand,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Grand Total
2020-02-11,1,32,0,25,1,2,0,6,1,0,1,15,0,27,32,50,9,0,0,1,3,0,3,5,1,0,1,14,24,1,1,1,0,0,1,77,12,0,0,2,1,47,3,16,0,0,2,1,1,0,24,34,0,3,8,0,0,32,0,1,9,2,1,3,9,1,1,1,8,0,0,7,0,10,1,0,18,7,56,2,0,21,1,14,10,5,1,72,240,1,1,5,0,0,0,1104
2020-02-12,0,15,0,15,2,5,0,9,1,0,0,15,0,30,15,40,16,0,0,0,2,0,5,4,0,1,6,20,24,3,1,1,0,0,1,58,11,0,0,3,2,51,2,26,0,0,4,0,3,0,11,29,1,7,8,1,0,17,0,1,6,1,0,4,5,1,1,1,5,0,1,5,2,7,1,0,10,12,54,5,1,8,0,5,6,3,3,77,167,1,6,5,0,1,0,901
2020-02-13,0,14,0,9,2,3,1,19,1,1,0,13,0,18,18,22,8,0,1,0,1,4,9,9,0,0,3,26,32,7,0,1,0,1,1,65,14,0,0,6,3,38,4,38,1,0,6,0,2,0,8,27,0,1,3,3,0,5,0,0,5,1,0,2,5,0.5,1,1,1,0,0,2,2,5,1,0,11,4,53,5,0,1,0,9,14,3,3,94,202,1,2,5,0,1,2,926
2020-02-14,1,14,0,15,2,3,0,3,1,0,0,21,0,12,12,30,6,0,0,0,0,1,3,4,1,0,4,21,10,0,0,1,0,0,0,72,6,0,0,2,1,31,0,23,0,0,4,0,1,0,2,30,0,1.5,7,4,0,15,0,0,4,1.5,1,1,3,0,1,2,2,0,0,1,0,10,0,0,10,10,20,5.5,0,4,0,12,2,5,4,71,152,1,2,3,0,1,1,708
2020-02-15,1,16,0,12,1,2,0,2.5,1,0,0,9,1,17,7,25,9,0,0,1,0,2,2,4,3,0,5,19,11,0,0,0,0,0,0,69,20,0,0,1,2,48,0,27,0,0,4,0,2,0,8,12,1,2,3,4,0,11,1,0,3,2,1,2,8,0,0,3,1.5,0,1,3.5,0,3,0,0,9,3,15,6,2,5,0,20,1,3,1,32,122,2,2,3,0,0,2,627
2020-02-16,1,5,0,12,1,2,0,2,1,0,0,9,1,7,9,35,3,0,0,0,2,1,1,1,1,0,2,41,15,0,2,0,0,0,0,47,4,0,0,2,3,29,0,31,0,0,4.5,0,2.5,0,10,30,1.5,4,3,3,0,8,1,0,4,1,1,4,6.5,0,0,1,1,0,0,6,0,4,0,0,7,4,12,5,1,1,0,26,1,2,4,36,131,1,2,1,0,0,0,615
2020-02-17,3,9,0,16,1,2,0,2,1,0,3,24,0,14,11,28,13,0,0,0,4,6,1,7,1,0,1,14,19,4,1,0,0,0,0,40,8,0,0,1,2,34,1,23,0,0,5,0,3,0,3,14,2,4,8,3,0,10,1,0,2,1,1,1,5,0,1,0,3,0,0,3,1,3,1,0,11,12,15,2,1,2,0,9,11,3,2,26,169,2,2,1,0,0,0,658
2020-02-18,0,10,0,22,3,2,0,2,1,0,1,21,0,30,37,21,8,0,0,1,6,1,2,8,1,0,1,35,12,5,0,0,0,0,4,50,3,1,0,4,2,41,0,24,0,0,11,0,2,0,5,16,1.5,1,4,1,0,80,1,2,5,1,1,4,4,2,1,0,4,0,0,1,0,6,0,0,11,10,20,9,2,5,1,12,3,2,3,39,138,1.5,2,1.5,0,2,0,788
2020-02-19,0,6,0,14,1,2,0,4,0,0,1,7,1,9,15,33,7,0,1,0,3.5,6,2,8,0,1,1,7,5,1,0,0,0,0,7,36,3,6,0,4,1,50,0,39,0,0,10,0,1,0,6,12,1,1,3,2,2,20,0,0,2,2,1,2,1,0,1,0,9,1,0,2,0,6,0,0,7,6,17,3,3,3,0,23,8,1,1,21,114,1,2,2,0,0,1,594
2020-02-20,0,10,0,6,2,2,0,5,0,0,0,12,1,9,15,33,14,0,0,0,1,6,1,5,0,1,1.5,11,7,1,1,0,0,0,0,57,3,11,5,3,1,24,0,13,0,0,1,0,1,0,3,12,1,0,6,1,1,22,0,0,4,1,1,2,4,0,1,0,9,0,0,0,0,12,0,0,19,2,19,2,0,4,0,25,4,1,3,29,126,1,4,2.5,0,0,1,590
2020-02-21,2,5,0,20,1,2.5,0,6,0,0,0,19,0,16,11,32,6,1,0,1,4,4,2,4,1,1,2,12,15,3,0,2,0,0,0,32,2,10,5,5,4,325,1,19,0,0,5,1,37,0,4,7,0,0,7,2,1,11,0,0,5,1,2,2,3,1,0,1,8,0,0,0,0,21,0,1,9,6,21,1,0,4,0,10,43,4,5,34,167,1,4,3,0,0,1,1031
2020-02-22,2,11,2,22,2,3,0,9,0,0,0,17,0,17,15,38,12,1.5,1,3,2,5,2,8,1,0,5,17,27,1,0,0,0,0,0,57,5,8,4,8,20,581,0,36,0,0,8,1.5,7,0,3,16,0,1,14,1,1,11,0,0,4,0,2,2,5,1,0,2,12,0,0,2,1,26,0,2,2,3,26,4,0,19,0,31,58,3,5,54,233,1,3,2,0,0,1,1562
2020-02-23,1,5,1,32,11,4,0,8,0,1,0,41,0,23,10,39,8,2,1,3,2,5,2,3,1,0,5,62,57,2.5,8,1,0,0,1,93,5,5,2,7,5,885,0,13,0,0,4,2,8,0,4,20,1,2,16,2,0,9,1,0,10,0,3,4,8,7,3,2,15,0,4,2,1,21,0,3,4,4,58,8,3,14,2,38,30,1,6,102,211,5,2,3,0,0,0,2016
2020-02-24,7,38,0,45,6,0,0,30,0,4,0,25,3,36,25,41,26,1,1,4,2,7,3,15,1,3,9,126,59,4,10,4.5,0,1,1.5,50,16,12,11,23,5,1021,0,32,1,0,15,13,10,0,5,51,1,2,38,2,0,49,1,6,19,6,2,6,8,6,2,3,26,2,3,10,1,18,3,4,1,9,179,11,9,23,3,62,45,2,7,121,382,3,9,20,0,0,0,2954
2020-02-25,7,80,0,59,25,0,0,20,1,7,1,43,0,29,37,32,53,4,2,6,2,6,4,17,3,4,9,139,79,2.5,12,8,1,1,2,43,13,6,6,42,4,700,0,36,1,0,13,10,18,1,3,61,2.5,2,48,6,0,13,0,4,12,8,13,11,4,12,6,0,26,0,4,8,1,13,11,7,5,3,326,4,2,38,0,32,121,6,10,123,548,6,14,18,0,0,0,3168
2020-02-26,5,155,0,39,25,1,0,23,13,3,1,173,0,35,58,35,143,7,1,6,8,7,9,51,0,7,4,151,100,1,14,9,2,8,6,76,12,8,3,34,10,560,1,30,1,0,14,11,8,1,5,84,4,1,71,3,0,21,0,2,78,15,24,16,8,6,9,0,18,1,5,6,1,9,1,5,11,6,312,1,4,43,0,85,75,2,6,162,843,15,35,24,0,0,1,3947
2020-02-27,4,82,0,60,33,0,1,39,6,1,1,138,0,82,62,50,95,3,3,6,5,13,15,57,0,1,10,184,161,4,17,4,0,5,6,72,8,22,5,73,14,662,3,57,1,0,46,3,20,1,3,134,1,1,143,4,1,32,10,1,139,6,12,25,10,22,6,4,17,0,6,4,6,33,8,4,8,23,222,7,20,39,1,59,63,1,17,275,1511,10,22,13,1,1,3,5137
2020-02-28,7,81,0,54,32,0,5,47,1,1,0,106,8,96,77,77,86,3,2,3,1,11,37,56,0,8,6,254,232,21,33,6,0,14,9,128,15,14,3,74,10,607,3,70,2,0,52,14,35,0,4,688,8,4,160,22,4,326,3,4,61,10,6,22,6,20,27,3,10,0,4,2,4,20,6,1,4,63,236,15,9,105,4,57,24,17,49,430,1705,5,28,3,0,3,1,6681
